,TC_4_2 (85.1%),TC_5_2 (84.5%),TC_1_3 (82.7%),MN_3_2 (82.1%),TC_3_3 (78.2%),TC_1_1 (72.8%),TC_3_1 (67.0%),TC_2_3 (65.4%),TC_2_2 (65.2%)
(96.9%) ProdUP,7.41,5.56,1.85,3.70,1.85,3.70,3.70,5.56,5.56
(72.5%) Excelência,2.63,2.63,2.63,1.32,2.63,2.63,2.63,2.63,2.63
(72.0%) STARTEQ,1.54,1.54,3.08,0.00,1.54,1.54,1.54,4.62,4.62
(66.1%) Terra Rara,1.37,5.48,2.74,2.74,0.00,4.11,2.74,4.11,2.74
(60.8%) Empreeng,1.30,2.60,2.60,1.30,0.00,3.90,3.90,2.60,3.90
