,TC_1_2 (92.0%),MN_1_1 (63.7%),GO_1_2 (-63.0%),GO_2_1 (-60.0%),MN_2_1 (51.6%),VM_5_2 (44.3%),GO_3_2 (36.7%),MN_5_1 (35.4%),MN_2_2 (34.0%)
(93.1%) Terra Rara,0.00,0.00,4.11,1.37,4.11,4.11,2.74,4.11,4.11
(82.3%) Reina,0.00,1.59,0.00,1.59,1.59,0.00,3.17,4.76,3.17
(77.5%) EdificarSe,1.68,1.68,1.68,3.36,1.68,2.52,4.20,2.52,4.20
(76.9%) STARTEQ,0.00,1.54,1.54,4.62,4.62,0.00,1.54,1.54,6.15
(61.3%) QuimTec,0.81,1.63,2.44,3.25,2.44,1.63,3.25,0.81,2.44
