,GO_4_2 (91.0%),MN_5_2 (86.5%),GO_5_1 (82.0%),GO_5_2 (74.0%),VM_1_1 (72.9%),VM_3_2 (71.5%),VM_4_2 (69.2%),MN_4_2 (63.5%),TC_5_1 (63.2%)
(96.5%) Reina,4.76,4.76,3.17,3.17,4.76,1.59,3.17,4.76,3.17
(76.0%) EdificarSe,3.36,4.20,2.52,1.68,3.36,1.68,1.68,2.52,4.20
(71.2%) EJAUFS,4.00,4.00,0.00,2.67,4.00,2.67,1.33,4.00,2.67
(58.6%) ProdUP,3.70,1.85,1.85,3.70,3.70,5.56,1.85,0.00,3.70
(56.8%) Empreeng,2.60,2.60,3.90,1.30,1.30,2.60,1.30,2.60,1.30
