,TC_2_1 (82.5%),GO_3_1 (77.6%),VM_1_2 (76.0%),VM_4_1 (73.7%),VM_2_1 (70.0%),GO_2_2 (68.2%),TC_4_1 (66.5%),MN_4_1 (66.5%),VM_3_1 (66.4%)
(87.7%) STARTEQ,3.08,3.08,1.54,4.62,4.62,1.54,1.54,3.08,6.15
(75.7%) Terra Rara,2.74,4.11,1.37,5.48,2.74,4.11,1.37,1.37,1.37
(73.5%) QuimTec,1.63,1.63,2.44,3.25,1.63,3.25,2.44,2.44,2.44
(71.7%) EJAUFS,1.33,2.67,1.33,4.00,2.67,2.67,2.67,2.67,5.33
(69.5%) Empreeng,1.30,1.30,2.60,1.30,3.90,3.90,1.30,3.90,5.19
