"EJ","Dor","Resposta"
"(18.5%) Reina","TC_5_1 (46.06%)","1.59"
"(18.5%) Reina","VM_5_2 (-42.26%)","3.17"
"(18.5%) Reina","VM_2_2 (37.20%)","3.17"
"(16.1%) Terra Rara","TC_1_2 (-87.05%)","4.11"
"(16.1%) Terra Rara","GO_1_2 (78.79%)","0.00"
"(16.1%) Terra Rara","GO_2_1 (78.17%)","0.00"
"(16.1%) Terra Rara","MN_1_1 (-61.71%)","1.37"
"(16.1%) Terra Rara","MN_2_1 (-48.08%)","4.11"
"(16.1%) Terra Rara","MN_4_2 (46.75%)","0.00"
"(16.1%) Terra Rara","TC_5_1 (46.06%)","0.00"
"(16.1%) Terra Rara","VM_5_2 (-42.26%)","4.11"
"(16.1%) Terra Rara","VM_2_2 (37.20%)","1.37"
