"EJ","Dor","Resposta"
"(12.6%) SERCIVIL","TC_4_1 (68.09%)","0.00"
"(12.6%) SERCIVIL","VM_2_1 (68.01%)","0.00"
"(1.5%) ProdUP","GO_3_1 (79.88%)","0.00"
"(1.5%) ProdUP","VM_1_2 (79.29%)","0.00"
"(1.5%) ProdUP","TC_2_1 (78.92%)","1.85"
"(1.5%) ProdUP","VM_4_1 (75.96%)","0.00"
"(1.5%) ProdUP","MN_4_1 (74.08%)","0.00"
"(1.5%) ProdUP","VM_3_1 (69.18%)","0.00"
"(1.5%) ProdUP","GO_2_2 (68.43%)","0.00"
"(1.5%) ProdUP","TC_4_1 (68.09%)","0.00"
"(1.5%) ProdUP","VM_2_1 (68.01%)","0.00"
